from;to;msg
1234;2534;Hi! Are you free tonight?
1234;2534;So? Are you free?
2534;1234;Sorry, I've got other plans
1234;2534;Ok. I guess that's fine
1234;g984;Hey guys! Is anyone down for some warzone?
5342;g984;Sorry bro but I'm busy at the moment
0798;g984;Yeah, me too :/
2534;g984;I'm super down!
2534;g984;Maybe we could also hop on Factorio later?
1234;5342;Gary?
1234;0798;Jim??
0798;1234;Sorry bro ;/
5342;1234;I'm busy. Leave me alone!
1234;g984;Great! Talk to you later then
5342;g984;Actually, I'll be there as well!
1234;g984;Hey guys
5135;g984;What's up!
